female,race,age,education,income,married,unemployed,homemaker,rellig,attend,pid7_r,pid2_r,ideology_c,followpol,campint,vote12,who12,who12_r,voteprim,whoprim,whoprim_r,whoprim_trump,intendvote,intendwho,intend_r,intend_trump,intendstrength,intendstrength_trump,vote16,who16,who16_r,who16_trump,prefercand,prefertrump,switch_trump,switch_trumpr,abstainer_r,abstainer_trump,new_r,switcher_r,demangry_rc,demhope,demafraid_rc,demproud,demdisgust_rc,demaffect,repangry_rc,rephope,repafraid_rc,repproud,repdisgust_rc,repaffect,femscale,femscale_rc,antifemscale,tradfamily,womenmedia,womenfavors,womenprob,womendisc,sexismremarks,sexismfail,sexismpower,sexismleash,sexism_hostile,sexism_hostile.rc,sexism,heardvideo,mattervideo,economy,worldpos,whitejobloss,whitegov1,whitegov2,whiteunfair,whitelaws,whiteid,americanid,immgoodecon_rc,immharmcult,immincreasecrime,negimm,rrfavors,rrslavery_rc,rrless_rc,rrtry,rrscale,muslimsviolent,auth1,auth2,auth3,auth4,auth,domspending,defensespending,fightisis,allowrefugees,raiseminwage,actclimate,aca,toopc,repwomen,repwomen.rc,demwomen
0,"White, nonHispanic",29,9,13,1,0,0,4,2,7,1,4,3,3,0,,,0,,,,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,,,,,1,,1,2,2,1,1,7,4,4,4,4,4,20,1,5,1,4,4,4,3,11,4,4,4,4,12,6,16,1,1,1,1,4,0,0,0,2,4,4,2,4,4,10,5,5,5,5,20,6,3,3,3,1,10,,6,7,1,3,2,1,2,6,2,4
0,"White, nonHispanic",26,13,17,0,0,0,1,1,6,1,5,5,3,1,Barack Obama,0,0,,,,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,,,,,,,3,1,3,1,3,11,5,1,5,1,5,17,1,5,1,4,4,3,3,10,3,3,5,4,12,6,15,1,1,3,1,2,1,1,1,3,2,5,2,1,4,7,3,2,4,3,12,6,1,3,1,1,6,4,6,6,1,3,7,4,4,2,6,4
0,"White, nonHispanic",23,9,6,0,0,0,1,1,3,0,4,2,1,0,,,0,,,,,,,,,,,,,,,,,,,0,,,4,1,4,1,4,14,5,3,4,2,4,18,1,5,3,7,4,4,4,12,4,4,3,3,10,8,14,1,2,2,1,4,0,0,0,3,3,4,3,5,3,11,5,5,5,5,20,4,1,3,1,3,8,,6,4,1,3,4,6,4,6,2,2
0,"White, nonHispanic",58,9,20,1,0,0,4,6,5,1,4,3,2,1,Mitt Romney,1,0,,,,,,,,,,1,,,,,,,,1,,,,3,1,3,1,3,11,3,2,3,3,4,15,1,5,1,7,4,4,4,12,4,3,3,3,9,9,13,1,3,3,2,4,0,0,0,4,3,4,2,2,2,6,4,4,4,4,16,5,3,1,1,1,6,3,5,7,2,4,4,2,3,4,4,4
1,"White, nonHispanic",38,9,3,0,0,0,4,4,3,0,4,3,2,1,Barack Obama,0,0,,,,1,Gary Johnson,0,0,2,1,1,Jill Stein,0,0,1,0,,,,,,,4,1,4,1,2,12,1,1,1,1,1,5,3,3,2,4,4,2,4,10,4,3,2,2,7,11,11,1,3,2,1,2,0,0,0,2,1,4,3,3,2,8,4,3,4,3,14,4,3,3,3,3,12,,2,1,4,4,7,4,3,1,7,4
0,"White, nonHispanic",60,14,1,0,0,0,4,5,5,1,6,5,3,1,Mitt Romney,1,0,,,,,,,,,,1,Donald Trump,1,1,0,0,,,0,,0,0,1,1,1,1,1,5,4,4,3,3,4,18,1,5,1,4,1,2,4,7,1,4,1,1,6,12,7,1,2,2,1,,,0,,,,5,2,3,3,8,4,5,3,,,,2,2,2,2,8,3,6,7,4,4,1,1,4,4,4,3
0,"Black, nonHispanic",58,5,22,1,0,0,4,2,1,0,4,4,2,1,Barack Obama,0,1,Hillary Clinton,0,0,1,Hillary Clinton,0,0,1,2,1,Hillary Clinton,0,0,1,0,0,,,,,,5,4,4,5,4,22,3,1,2,1,2,9,1,5,1,4,4,3,4,11,3,4,3,4,11,7,14,1,4,2,2,,1,2,2,,,1,4,3,2,9,5,2,3,5,15,3,3,3,3,1,10,7,5,4,2,4,7,4,3,4,4,6
1,"White, nonHispanic",56,9,28,0,0,0,4,1,4,,5,5,3,1,Mitt Romney,1,1,Donald Trump,1,1,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,0,0,0,,0,0,3,1,4,1,3,12,5,4,5,4,5,23,2,4,2,7,4,5,5,14,4,3,4,4,11,7,15,1,2,2,1,3,0,0,0,3,1,5,3,2,4,9,2,5,5,4,16,4,3,3,1,3,10,2,5,6,1,4,2,4,4,6,2,4
0,Other nonHispanic incl multiple races [WEB: blank 'Other' counted as a race],45,9,12,0,0,0,1,2,5,1,4,5,3,1,Mitt Romney,1,0,,,,,,,,,,,,,,,,,,1,0,,,1,1,1,1,2,6,4,3,5,2,3,17,1,5,1,4,4,4,4,12,4,3,4,4,11,7,15,1,2,3,1,,0,0,0,,5,5,2,4,4,10,4,4,4,5,17,5,3,3,1,1,8,3,5,6,1,4,4,1,4,4,4,7
1,"White, nonHispanic",30,10,19,1,0,0,3,2,3,0,3,3,3,0,,,0,,,,,,,,,,1,Gary Johnson,0,0,0,0,,,,,,,4,2,5,2,4,17,3,2,4,2,4,15,3,3,2,4,2,4,2,8,3,3,3,3,9,9,12,1,3,3,1,1,0,0,0,3,1,3,3,3,3,9,3,3,2,3,11,4,3,1,1,1,6,3,4,7,5,4,6,6,2,4,4,7
